name,radius,x,y,z
Gliese611,7,-865.63755994125438,-1577.0304576708656,1464.9390944327247
HD150689,3,-585.72521998597233,-1706.7113947147291,-1458.2394116959285
HR7578,3,1014.2026499568121,-1862.1129356687411,-941.45015780747667
π1UrsaeMajoris,7,-629.82472737425462,755.93933128287176,2112.0550514149841
RasAlhague,20,-248.78124117171132,-2265.5019313908406,507.77346612976578
ηCephei,3,729.18671880334523,-829.40773283695103,2063.0001313211496
Gliese613,3,-598.62893902080555,-1146.4912609445498,-1950.0772246105025
72Herculis,7,-338.0203240788216,-1949.3162088883273,1258.9414514880687
Gliese796,7,1380.8693264109165,-1642.7429556080033,-945.31501901627792
Gliese481,3,-2229.5402080774056,-404.17109575854499,623.13416365939622
Gliese546,3,-1666.8008426665579,-1188.3672500052412,1164.2951644669117
Gliese420,1,-657.07354099649433,130.10415998047966,2257.7316645868486
ν2Lupi,7,-1005.6678058050633,-1217.80440387305,-1773.7558169811975
θBoötis,11,-1182.3261667555346,-868.5046584649989,1867.7337855352298
Gliese269,3,-538.69068796834199,1531.8298621630711,-1740.0314985889374
Gliese833,3,1220.9553966376791,-881.52686801617608,-1849.4332376127882
ιUrsaeMajoris,20,-1123.6706458926608,1131.3786321420016,1773.5759556025969
Gliese259,3,-566.19227957258261,2068.4696646590191,-1043.59213725373
111Tauri,11,352.70676019228807,2253.4060954064771,714.04405361265754
ψSerpentis,7,-1334.895549717304,-1979.6849713589256,104.88701311671187
Gliese604,3,-894.64517901523845,-1514.0169016301413,-1618.4754632811271
ψCapricorni,11,1435.8122814786016,-1621.4646180799332,-1022.4092060765635
HD97584,3,-668.23402576925844,132.31399709267464,2296.0795484864129
OUGeminorum,3,-259.97912872779108,2267.1501953226048,774.9457042106983
αCorvi,11,-2187.5207043680475,-80.371400989466864,-1008.1634817151986
20LeonisMinoris,7,-1790.7100304667943,1023.3023731427693,1284.9551898435952
ABDoradus,3,137.53147324392546,1002.3738989042408,-2214.8491281942588
νPhoenicis,11,1614.7907182453637,549.58833344254765,-1737.7078580740972
Gliese1021,7,1610.8066230309755,325.89198920301567,-1796.7530254803655
Gliese52,3,1026.1779803792865,309.57701276886314,2191.967341396718
Gliese1279,3,902.36629842597824,-201.35874152518679,-2258.0499818817984
Alderamin,3,856.11957766986131,-727.43538409863186,2165.9863874668408
Gliese738,7,505.60226084420748,-1989.600901679215,1328.1112927260579
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
